2101234560,Andi Wijaya,Sistem Informasi,2,3.9,Aktif
2101234561,Budi Santoso,Informatika,4,3.85,Aktif
2101234562,Citra Lestari,Teknik Elektro,6,3.7,Non-Aktif
2101234563,Dewi Sartika,Teknik Industri,8,3.45,Aktif
2101234564,Eko Prasetyo,Sistem Informasi,4,3.15,Aktif
2101234565,Farhan Halim,Informatika,6,2.95,Non-Aktif
2101234566,Gita Gutawa,Desain Komunikasi Visual,2,3.6,Aktif
2101234567,Hendra Wijaya,Teknik Elektro,8,3.75,Aktif
2101234568,Indah Permata,Teknik Industri,6,3.25,Aktif
2101234569,Joko Widodo,Informatika,8,3.68,Aktif
